id,time,priority,dmnd,short,prtdown,ttldown,prtgdown,ttlgdown
B,196.7521645021647,0,12,-2,0.0,0.0,-20751.888017075395,-4192354.879652165
C,196.7521645021647,0,12,-7,0.0,0.0,-93383.49607683928,-4285738.375729004
D,196.7521645021647,6,7,-3,0.0,0.0,-124511.32810245235,-4410249.703831457
E,196.7521645021647,6,7,0,0.0,0.0,-124511.32810245235,-4534761.031933909
F,196.7521645021647,1,10,-1,0.0,4.125,-134887.27211099004,-4669648.3040448995
G,196.7521645021647,1,10,0,0.0,0.0,-134887.27211099004,-4804535.57615589
H,196.7521645021647,4,12,-1,0.0,0.0,-145263.21611952776,-4949798.792275418
I,196.7521645021647,4,12,0,0.0,0.0,-145263.21611952776,-5095062.008394945
J,196.7521645021647,8,30,0,0.0,0.0,-145263.21611952776,-5240325.224514473
A,198.71250000000003,0,12,0,0.0,0.0,0.0,-5240325.224514473
B,198.71250000000003,0,12,-2,0.0,0.0,-19572.321022727196,-5259897.545537201
C,198.71250000000003,0,12,-7,0.0,0.0,-88075.44460227239,-5347972.990139473
D,198.71250000000003,6,7,-3,0.0,0.0,-117433.92613636317,-5465406.9162758365
E,198.71250000000003,6,7,0,0.0,0.0,-117433.92613636317,-5582840.8424122
F,198.71250000000003,1,10,-1,0.0,4.125,-127220.08664772677,-5710060.929059926
G,198.71250000000003,1,10,1,0.0,0.0,-117433.92613636317,-5827494.85519629
H,198.71250000000003,4,12,-1,0.0,0.0,-127220.08664772677,-5954714.941844016
I,198.71250000000003,4,12,0,0.0,0.0,-127220.08664772677,-6081935.028491743
J,198.71250000000003,8,30,0,0.0,0.0,-127220.08664772677,-6209155.1151394695
A,203.65000000000003,0,12,0,0.0,0.0,0.0,-6209155.1151394695
B,203.65000000000003,0,12,-2,0.0,0.0,-19260.19874999999,-6228415.31388947
C,203.65000000000003,0,12,-7,0.0,0.0,-86670.89437499996,-6315086.20826447
D,203.65000000000003,6,7,-2,0.0,0.0,-105931.09312499996,-6421017.30138947
E,203.65000000000003,6,7,0,0.0,0.0,-105931.09312499996,-6526948.394514469
F,203.65000000000003,1,10,-1,0.0,4.125,-115561.19249999993,-6642509.587014469
G,203.65000000000003,1,10,1,0.0,0.0,-105931.09312499996,-6748440.680139469
H,203.65000000000003,4,12,-1,0.0,0.0,-115561.19249999993,-6864001.872639469
I,203.65000000000003,4,12,0,0.0,0.0,-115561.19249999993,-6979563.065139469
J,203.65000000000003,8,30,0,0.0,0.0,-115561.19249999993,-7095124.257639469
A,204.7972222222227,0,12,0,0.0,0.0,0.0,-7095124.257639469
B,204.7972222222227,0,12,-2,0.0,0.0,-17346.32472222225,-7112470.582361691
C,204.7972222222227,0,12,-7,0.0,0.0,-78058.46125000012,-7190529.04361169
D,204.7972222222227,6,7,-1,0.0,0.0,-86731.62361111124,-7277260.667222802
E,204.7972222222227,6,7,0,0.0,0.0,-86731.62361111124,-7363992.290833913
F,204.7972222222227,1,10,-1,0.0,4.125,-95404.78597222237,-7459397.0768061355
G,204.7972222222227,1,10,0,0.0,0.0,-95404.78597222237,-7554801.862778358
H,204.7972222222227,4,12,-3,0.0,0.0,-121424.27305555575,-7676226.135833913
I,204.7972222222227,4,12,0,0.0,0.0,-121424.27305555575,-7797650.408889469
J,204.7972222222227,8,30,0,0.0,0.0,-121424.27305555575,-7919074.681945024
A,205.91666666666686,0,12,0,0.0,0.0,0.0,-7919074.681945024
B,205.91666666666686,0,12,-2,0.0,0.0,-16968.677314814635,-7936043.359259838
C,205.91666666666686,0,12,-6,0.0,0.0,-67874.70925925854,-8003918.068519097
D,205.91666666666686,6,7,-1,0.0,0.0,-76359.04791666586,-8080277.1164357625
E,205.91666666666686,6,7,0,0.0,0.0,-76359.04791666586,-8156636.164352428
F,205.91666666666686,1,10,-1,0.0,4.125,-84843.38657407317,-8241479.550926501
G,205.91666666666686,1,10,0,0.0,0.0,-84843.38657407317,-8326322.937500574
H,205.91666666666686,4,12,-3,0.0,0.0,-110296.40254629512,-8436619.34004687
I,205.91666666666686,4,12,0,0.0,0.0,-110296.40254629512,-8546915.742593165
J,205.91666666666686,8,30,0,0.0,0.0,-110296.40254629512,-8657212.145139461
A,209.35957403707437,0,12,0,0.0,0.0,0.0,-8657212.145139461
B,209.35957403707437,0,12,-2,0.0,0.0,-16783.659185305383,-8673995.804324767
C,209.35957403707437,0,12,-6,0.0,0.0,-67134.63674122153,-8741130.441065988
D,209.35957403707437,6,7,-1,0.0,0.0,-75526.46633387421,-8816656.907399861
E,209.35957403707437,6,7,0,0.0,0.0,-75526.46633387421,-8892183.373733735
F,209.35957403707437,1,10,-1,0.0,4.125,-83918.2959265269,-8976101.66966026
G,209.35957403707437,1,10,1,0.0,0.0,-75526.46633387421,-9051628.135994134
H,209.35957403707437,4,12,-3,0.0,0.0,-100701.9551118323,-9152330.091105966
I,209.35957403707437,4,12,0,0.0,0.0,-100701.9551118323,-9253032.046217797
J,209.35957403707437,8,30,0,0.0,0.0,-100701.9551118323,-9353734.001329629
A,210.82142857142878,0,12,0,0.0,0.0,0.0,-9353734.001329629
B,210.82142857142878,0,12,-2,0.0,0.0,-15449.173889939302,-9369183.175219567
C,210.82142857142878,0,12,-5,0.0,0.0,-54072.108614787554,-9423255.283834355
D,210.82142857142878,6,7,-1,0.0,0.0,-61796.69555975721,-9485051.979394112
E,210.82142857142878,6,7,0,0.0,0.0,-61796.69555975721,-9546848.674953869
F,210.82142857142878,1,10,-1,0.0,4.125,-69521.28250472686,-9616369.957458595
G,210.82142857142878,1,10,0,0.0,0.0,-69521.28250472686,-9685891.239963321
H,210.82142857142878,4,12,-2,0.0,0.0,-84970.45639466615,-9770861.696357988
I,210.82142857142878,4,12,0,0.0,0.0,-84970.45639466615,-9855832.152752655
J,210.82142857142878,8,30,0,0.0,0.0,-84970.45639466615,-9940802.609147321
A,223.71250000000003,0,12,0,0.0,0.0,0.0,-9940802.609147321
B,223.71250000000003,0,12,-2,0.0,0.0,-15739.77232142848,-9956542.38146875
C,223.71250000000003,0,12,-5,0.0,0.0,-55089.20312499967,-10011631.58459375
D,223.71250000000003,6,7,-1,0.0,0.0,-62959.08928571392,-10074590.673879465
E,223.71250000000003,6,7,0,0.0,0.0,-62959.08928571392,-10137549.76316518
F,223.71250000000003,1,10,-1,0.0,4.125,-70828.97544642816,-10208378.738611607
G,223.71250000000003,1,10,-1,0.0,0.0,-78698.8616071424,-10287077.600218749
H,223.71250000000003,4,12,-2,0.0,0.0,-94438.63392857087,-10381516.23414732
I,223.71250000000003,4,12,0,0.0,0.0,-94438.63392857087,-10475954.86807589
J,223.71250000000003,8,30,0,0.0,0.0,-94438.63392857087,-10570393.502004461
A,226.2619047619048,0,12,2,0.0,0.0,10085.624404761891,-10560307.8775997
B,226.2619047619048,0,12,-2,0.0,0.0,0.0,-10560307.8775997
C,226.2619047619048,0,12,-5,0.0,0.0,-25214.061011904723,-10585521.938611604
D,226.2619047619048,6,7,-1,0.0,0.0,-30256.87321428567,-10615778.81182589
E,226.2619047619048,6,7,0,0.0,0.0,-30256.87321428567,-10646035.685040176
F,226.2619047619048,1,10,-1,0.0,4.125,-35299.685416666616,-10681335.370456843
G,226.2619047619048,1,10,-1,0.0,0.0,-40342.497619047565,-10721677.86807589
H,226.2619047619048,4,12,-2,0.0,0.0,-50428.12202380945,-10772105.9900997
I,226.2619047619048,4,12,0,0.0,0.0,-50428.12202380945,-10822534.11212351
