['71', 'C', 'EOL', 3970.377772668722, 0]
['23', 'D', 'EOL', 4022.1402024688728, 0]
('137', 'H', 'D', 4022.1402024688728, 100)
('138', 'J', 'E', 4032, 100)
('139', 'H', 'E', 4032, 100)
('41', 'F', 'A', 4041, 6.5)
['89', 'C', 'EOL', 4086.5817535079937, 0]
['95', 'C', 'EOL', 4086.5817535079937, 0]
['100', 'C', 'EOL', 4086.5817535079937, 0]
['103', 'C', 'EOL', 4086.5817535079937, 0]
['105', 'C', 'EOL', 4086.5817535079937, 0]
['108', 'C', 'EOL', 4086.5817535079937, 0]
['109', 'C', 'EOL', 4086.5817535079937, 0]
['115', 'C', 'EOL', 4086.5817535079937, 0]
['120', 'C', 'EOL', 4086.5817535079937, 0]
('41', 'A', 'C', 4086.5817535079937, 34.333333333333336)
('93', 'A', 'C', 4086.5817535079937, 34.333333333333336)
('97', 'A', 'C', 4086.5817535079937, 34.333333333333336)
('46', 'A', 'C', 4086.5817535079937, 34.333333333333336)
('31', 'A', 'C', 4086.5817535079937, 34.333333333333336)
('22', 'A', 'C', 4086.5817535079937, 34.333333333333336)
('10', 'A', 'C', 4086.5817535079937, 34.333333333333336)
('52', 'A', 'C', 4086.5817535079937, 34.333333333333336)
('51', 'F', 'C', 4098, 10.0)
['52', 'C', 'EOL', 4114.829865262294, 0]
('137', 'D', 'C', 4114.829865262294, 112.0)
('134', 'D', 'B', 4137, 36.0)
('128', 'D', 'B', 4175, 43.333333333333336)
['10', 'C', 'EOL', 4273.808833192616, 0]
('130', 'D', 'C', 4273.808833192616, 109.0)
['28', 'E', 'EOL', 4308.905008193902, 0]
('130', 'C', 'E', 4308.905008193902, 100)
['56', 'F', 'EOL', 4311.007091653149, 0]
['48', 'G', 'EOL', 4413.510947919267, 0]
[OrderedDict([('E-F', 2)]), '2018-02-03']
[OrderedDict([('J-G', 1)]), '2018-04-10']
[OrderedDict([('J-B', 1)]), '2018-05-10']
[OrderedDict([('E-F', 1)]), '2018-05-16']
[OrderedDict([('J-B', 1)]), '2018-05-30']
[OrderedDict([('D-J', 1)]), '2018-05-30']
[OrderedDict([('J-F', 1)]), '2018-06-09']
[OrderedDict([('E-J', 1)]), '2018-06-09']
[OrderedDict([('J-A', 2), ('I-J', 1), ('D-J', 1)]), '2018-06-14']
[OrderedDict([('J-B', 1)]), '2018-06-21']
[OrderedDict([('E-J', 1)]), '2018-06-21']
[OrderedDict([('J-H', 1)]), '2018-06-29']
[OrderedDict([('I-H', 1)]), '2018-06-29']
[OrderedDict([('D-J', 1)]), '2018-06-29']
[OrderedDict([('D-G', 1)]), '2018-07-18']
[OrderedDict([('J-G', 1)]), '2018-07-23']
[OrderedDict([('D-J', 1)]), '2018-07-23']
[OrderedDict([('J-G', 1)]), '2018-07-29']
[OrderedDict([('H-J', 1)]), '2018-07-29']
[OrderedDict([('J-A', 1)]), '2018-08-15']
[OrderedDict([('J-A', 1)]), '2018-08-15']
