id,time,priority,dmnd,short,prtdown,ttldown,prtgdown,ttlgdown
A,142.33479166666677,1,10,2,0.301291666666691,59.93455092592596,6596.268695138898,6345056.82526373
B,142.33479166666677,0,12,-1,0.0,30.3915,3298.134347569449,6348354.959611299
C,142.33479166666677,0,12,0,0.0,19.249999999999996,3298.134347569449,6351653.093958869
D,142.33479166666677,1,10,2,0.301291666666691,30.883625000000023,9894.403042708347,6361547.497001577
E,142.33479166666677,6,7,7,1.5064583333334554,118.7633630952382,32981.34347569449,6394528.840477272
F,142.33479166666677,1,10,4,0.4519375000000367,91.32293338477369,46173.880865972285,6440702.721343244
G,142.33479166666677,1,10,2,0.301291666666691,67.333625,52770.14956111118,6493472.870904355
H,142.33479166666677,4,12,11,1.3809201388890007,20.223559027777874,89049.62738437513,6582522.49828873
I,142.33479166666677,4,12,11,1.3809201388890007,93.23946731701949,125329.10520763906,6707851.603496369
J,142.33479166666677,8,30,23,1.1549513888889824,78.20799900793659,201186.19520173638,6909037.798698105
A,145.84340659340666,1,10,2,0.7017229853479761,60.63627391127394,6319.455575778359,6915357.254273883
B,145.84340659340666,0,12,0,0.0,30.3915,6319.455575778359,6921676.709849661
C,145.84340659340666,0,12,0,0.0,19.249999999999996,6319.455575778359,6927996.165425439
D,145.84340659340666,1,10,2,0.7017229853479761,31.585347985348,12638.911151556718,6940635.076576996
E,145.84340659340666,6,7,7,3.508614926739881,122.27197802197809,34757.00566678098,6975392.082243777
F,145.84340659340666,1,10,2,0.7017229853479761,92.02465637012166,41076.46124255934,7016468.543486336
G,145.84340659340666,1,10,3,1.0525844780219644,68.38620947802197,50555.64460622687,7067024.188092563
H,145.84340659340666,4,12,11,3.2162303495115574,23.439789377289433,85312.65027300785,7152336.838365572
I,145.84340659340666,4,12,11,3.2162303495115574,96.45569766653105,120069.65593978882,7272406.49430536
J,145.84340659340666,8,30,24,2.806891941391905,81.0148909493285,195903.12284912914,7468309.617154489
A,149.9587037037037,1,10,2,0.823059422059407,61.45933333333335,5445.4784218559025,7473755.095576345
B,149.9587037037037,0,12,0,0.0,30.3915,5445.4784218559025,7479200.573998201
C,149.9587037037037,0,12,0,0.0,19.249999999999996,5445.4784218559025,7484646.052420056
D,149.9587037037037,1,10,3,1.2345891330891108,32.81993711843711,13613.696054639757,7498259.748474696
E,149.9587037037037,6,7,7,4.1152971102970355,126.38727513227512,32672.870531135417,7530932.619005831
F,149.9587037037037,1,10,1,0.823059422059407,92.84771579218106,35395.60974206337,7566328.228747894
G,149.9587037037037,1,10,2,0.823059422059407,69.20926890008137,40841.088163919274,7607169.316911813
H,149.9587037037037,4,12,11,3.772355684438949,27.212145061728382,70791.21948412673,7677960.53639594
I,149.9587037037037,4,12,11,3.772355684438949,100.22805335097,100741.35080433422,7778701.8872002745
J,149.9587037037037,8,30,24,3.2922376882376287,84.30712863756614,166087.09186660504,7944788.9790668795
A,152.97814814814814,1,10,2,0.603888888888889,62.06322222222224,4296.023010013721,7949085.002076893
B,152.97814814814814,0,12,0,0.0,30.3915,4296.023010013721,7953381.025086907
C,152.97814814814814,0,12,0,0.0,19.249999999999996,4296.023010013721,7957677.04809692
D,152.97814814814814,1,10,1,0.603888888888889,33.423826007326,6444.034515020581,7964121.082611941
E,152.97814814814814,6,7,7,3.0194444444444457,129.40671957671958,21480.115050068605,7985601.19766201
F,152.97814814814814,1,10,3,0.9058333333333338,93.7535491255144,27924.14956508919,8013525.347227099
G,152.97814814814814,1,10,2,0.603888888888889,69.81315778897026,32220.172575102908,8045745.5198022025
H,152.97814814814814,4,12,11,2.767824074074075,29.979969135802456,55848.29913017838,8101593.8189323805
I,152.97814814814814,4,12,11,2.767824074074075,102.99587742504407,79476.42568525384,8181070.244617634
J,152.97814814814814,8,30,23,2.314907407407408,86.62203604497354,128880.69030041163,8309950.934918046
A,161.8309523809524,1,10,1,1.7705608465608516,63.83378306878309,1783.676782186951,8311734.611700233
B,161.8309523809524,0,12,0,0.0,30.3915,1783.676782186951,8313518.28848242
C,161.8309523809524,0,12,0,0.0,19.249999999999996,1783.676782186951,8315301.965264607
D,161.8309523809524,1,10,2,1.7705608465608516,35.194386853886854,5351.030346560853,8320652.995611168
E,161.8309523809524,6,7,7,8.85280423280426,138.25952380952384,17836.767821869507,8338489.763433038
F,161.8309523809524,1,10,2,1.7705608465608516,95.52410997207525,21404.121386243412,8359893.884819281
G,161.8309523809524,1,10,2,1.7705608465608516,71.58371863553111,24971.474950617314,8384865.3597698985
H,161.8309523809524,4,12,11,8.115070546737238,38.09503968253969,44591.919554673776,8429457.279324573
I,161.8309523809524,4,12,11,8.115070546737238,111.11094797178131,64212.36415873023,8493669.643483303
J,161.8309523809524,8,30,23,6.7871499118165985,93.40918595679014,105236.93014903011,8598906.573632333
A,162.23857142857142,1,10,1,0.08152380952380438,63.91530687830689,351.9031870748274,8599258.476819409
B,162.23857142857142,0,12,0,0.0,30.3915,351.9031870748274,8599610.380006485
C,162.23857142857142,0,12,0,0.0,19.249999999999996,351.9031870748274,8599962.28319356
D,162.23857142857142,1,10,2,0.08152380952380438,35.275910663410656,1055.709561224482,8601017.992754785
E,162.23857142857142,6,7,7,0.407619047619022,138.66714285714286,3519.0318707482734,8604537.024625534
F,162.23857142857142,1,10,2,0.08152380952380438,95.60563378159905,4222.838244897928,8608759.862870432
G,162.23857142857142,1,10,2,0.08152380952380438,71.66524244505491,4926.644619047583,8613686.50748948
H,162.23857142857142,4,12,11,0.37365079365077014,38.46869047619046,8797.579676870684,8622484.08716635
I,162.23857142857142,4,12,11,0.37365079365077014,111.48459876543208,12668.514734693787,8635152.601901043
J,162.23857142857142,8,30,22,0.29892063492061616,93.70810659171076,20410.38485033999,8655562.986751383
A,162.74966729129926,1,10,2,0.1022191725455684,64.01752605085247,573.3438279147804,8656136.330579298
B,162.74966729129926,0,12,0,0.0,30.3915,573.3438279147804,8656709.674407212
C,162.74966729129926,0,12,0,0.0,19.249999999999996,573.3438279147804,8657283.018235127
D,162.74966729129926,1,10,2,0.1022191725455684,35.37812983595622,1146.6876558295608,8658429.705890955
E,162.74966729129926,6,7,7,0.5110958627278421,139.1782387198707,3153.3910535312916,8661583.096944487
F,162.74966729129926,1,10,2,0.1022191725455684,95.70785295414463,3726.7348814460724,8665309.831825932
G,162.74966729129926,1,10,2,0.1022191725455684,71.76746161760049,4300.078709360852,8669609.910535293
H,162.74966729129926,4,12,10,0.42591321893986844,38.89460369513033,7166.797848934754,8676776.708384227
I,162.74966729129926,4,12,12,0.4685045408338553,111.95310330626594,10606.860816423436,8687383.56920065
J,162.74966729129926,8,30,22,0.3748036326670843,94.08291022437784,16913.64292348602,8704297.212124135
A,163.0500000000001,1,10,2,0.06006654174016715,64.07759259259264,407.73349630731127,8704704.945620442
B,163.0500000000001,0,12,0,0.0,30.3915,407.73349630731127,8705112.679116748
C,163.0500000000001,0,12,0,0.0,19.249999999999996,407.73349630731127,8705520.412613055
D,163.0500000000001,1,10,2,0.06006654174016715,35.43819637769639,815.4669926146225,8706335.87960567
E,163.0500000000001,6,7,7,0.30033270870083584,139.47857142857154,2242.534229690212,8708578.41383536
F,163.0500000000001,1,10,1,0.06006654174016715,95.7679194958848,2446.400977843868,8711024.814813204
G,163.0500000000001,1,10,2,0.06006654174016715,71.82752815934066,2854.134474151179,8713878.949287355
H,163.0500000000001,4,12,11,0.27530498297576617,39.1699086781061,5096.668703841391,8718975.617991196
I,163.0500000000001,4,12,11,0.27530498297576617,112.22840828924171,7339.202933531604,8726314.820924727
J,163.0500000000001,8,30,22,0.22024398638061296,94.30315421075845,11824.271392912027,8738139.092317639
A,163.8095238095237,1,10,2,0.1519047619047228,64.22949735449735,311.2380952380634,8738450.330412878
B,163.8095238095237,0,12,0,0.0,30.3915,311.2380952380634,8738761.568508117
C,163.8095238095237,0,12,1,0.0,19.249999999999996,466.8571428570951,8739228.425650973
D,163.8095238095237,1,10,2,0.1519047619047228,35.59010113960112,778.0952380951585,8740006.520889068
E,163.8095238095237,6,7,7,0.7595238095236141,140.23809523809516,1867.4285714283803,8741873.949460497
F,163.8095238095237,1,10,2,0.1519047619047228,95.91982425778951,2178.6666666664437,8744052.616127163
G,163.8095238095237,1,10,2,0.1519047619047228,71.97943292124538,2489.9047619045073,8746542.520889068
H,163.8095238095237,4,12,10,0.6329365079363451,39.80284518604244,4046.0952380948243,8750588.616127163
I,163.8095238095237,4,12,11,0.6962301587299795,112.92463844797169,5757.904761904172,8756346.520889068
J,163.8095238095237,8,30,22,0.5569841269839837,94.86013833774243,9181.52380952287,8765528.04469859
A,164,0,12,4,0.03809523809525785,64.2675925925926,124.95238095244576,8765652.997079544
B,164,0,12,0,0.0,30.3915,124.95238095244576,8765777.949460497
C,164,0,12,0,0.0,19.249999999999996,124.95238095244576,8765902.90184145
D,164,1,10,2,0.03809523809525785,35.628196377696376,187.42857142866865,8766090.33041288
E,164,6,7,7,0.19047619047628928,140.42857142857144,406.09523809544874,8766496.425650975
F,164,1,10,2,0.03809523809525785,95.95791949588477,468.5714285716716,8766964.997079546
G,164,1,10,2,0.03809523809525785,72.01752815934063,531.0476190478945,8767496.044698594
H,164,4,12,11,0.17460317460326516,39.9774483606457,874.6666666671204,8768370.711365262
I,164,4,12,11,0.17460317460326516,113.09924162257495,1218.2857142863463,8769588.997079547
J,164,8,30,22,0.13968253968261216,94.99982087742504,1905.5238095247978,8771494.520889072
A,166.10896749084247,0,12,0,0.0,64.2675925925926,0.0,8771494.520889072
B,166.10896749084247,0,12,0,0.0,30.3915,0.0,8771494.520889072
C,166.10896749084247,0,12,0,0.0,19.249999999999996,0.0,8771494.520889072
D,166.10896749084247,1,10,4,0.6326902472527423,36.260886624949116,17939.76848901099,8789434.289378082
E,166.10896749084247,6,7,7,2.108967490842474,142.53753891941392,49334.36334478021,8838768.652722863
F,166.10896749084247,1,10,2,0.4217934981684947,96.37971299405326,58304.24758928571,8897072.90031215
G,166.10896749084247,1,10,2,0.4217934981684947,72.43932165750913,67274.1318337912,8964347.032145942
H,166.10896749084247,4,12,11,1.9332201999389345,41.91066856058464,116608.49517857142,9080955.527324513
I,166.10896749084247,4,12,12,2.108967490842474,115.20820911341742,170427.80064560438,9251383.327970117
J,166.10896749084247,8,30,24,1.6871739926739793,96.68699487009901,278066.41157967027,9529449.739549788
A,167.33479166666677,0,12,0,0.0,64.2675925925926,0.0,9529449.739549788
B,167.33479166666677,0,12,0,0.0,30.3915,0.0,9529449.739549788
C,167.33479166666677,0,12,0,0.0,19.249999999999996,0.0,9529449.739549788
D,167.33479166666677,1,10,2,0.24516483516485998,36.50605146011397,8330.27147857621,9537780.011028364
E,167.33479166666677,6,7,7,1.2258241758243003,143.76336309523822,37486.22165359294,9575266.232681958
F,167.33479166666677,1,10,2,0.36774725274729014,96.74746024680056,45816.493132169155,9621082.725814126
