id,time,priority,dmnd,short,prtdown,ttldown,prtgdown,ttlgdown
A,193.17348484848492,0,12,0,0.0,0.5555555555555558,0.0,-27339.536013880323
B,193.17348484848492,0,12,-2,0.0,0.0,-20510.194753787877,-47849.730767668196
C,193.17348484848492,0,12,-5,0.0,0.0,-71785.68163825758,-119635.41240592577
D,193.17348484848492,6,7,3,0.11185064935066943,1.0850649350649713,-41020.389507575754,-160655.80191350152
E,193.17348484848492,6,7,3,0.11185064935066943,58.76385281385284,-10255.097376893938,-170910.89929039546
F,193.17348484848492,1,10,0,0.0,15.458333333333336,-10255.097376893938,-181165.9966672894
G,193.17348484848492,1,10,0,0.0,7.333333333333337,-10255.097376893938,-191421.09404418335
H,193.17348484848492,4,12,1,0.04349747474748255,18.556691919191923,0.0,-191421.09404418335
I,193.17348484848492,4,12,2,0.04349747474748255,23.452525252525273,20510.194753787877,-170910.89929039546
J,193.17348484848492,8,30,5,0.04349747474748255,22.68976731601732,71785.68163825758,-99125.21765213789
A,205.24829931972775,0,12,1,0.0,0.5555555555555558,10842.5523938363,-88282.66525830158
B,205.24829931972775,0,12,-2,0.0,0.0,-10842.5523938363,-99125.21765213789
C,205.24829931972775,0,12,-5,0.0,0.0,-65055.31436301781,-164180.5320151557
D,205.24829931972775,6,7,3,5.174920487675499,6.2599854227404705,-32527.657181508905,-196708.1891966646
E,205.24829931972775,6,7,3,5.174920487675499,63.93877330152834,0.0,-196708.1891966646
F,205.24829931972775,1,10,0,0.0,15.458333333333336,0.0,-196708.1891966646
G,205.24829931972775,1,10,0,0.0,7.333333333333337,0.0,-196708.1891966646
H,205.24829931972775,4,12,2,2.0124690785404713,20.569160997732396,21685.1047876726,-175023.084408992
I,205.24829931972775,4,12,2,2.0124690785404713,25.464994331065746,43370.2095753452,-131652.8748336468
J,205.24829931972775,8,30,4,1.6099752628323771,24.2997425788497,86740.4191506904,-44912.45568295641
A,205.91666666666666,0,12,0,0.0,0.5555555555555558,0.0,-44912.45568295641
B,205.91666666666666,0,12,-2,0.0,0.0,-16782.908730158786,-61695.364413115196
C,205.91666666666666,0,12,-4,0.0,0.0,-50348.726190476365,-112044.09060359155
D,205.91666666666666,6,7,3,0.28644314868810333,6.5464285714285735,-25174.363095238183,-137218.45369882975
E,205.91666666666666,6,7,3,0.28644314868810333,64.22521645021645,0.0,-137218.45369882975
F,205.91666666666666,1,10,0,0.0,15.458333333333336,0.0,-137218.45369882975
G,205.91666666666666,1,10,0,0.0,7.333333333333337,0.0,-137218.45369882975
H,205.91666666666666,4,12,2,0.11139455782315127,20.680555555555546,16782.908730158786,-120435.54496867096
I,205.91666666666666,4,12,2,0.11139455782315127,25.576388888888896,33565.81746031757,-86869.72750835339
J,205.91666666666666,8,30,5,0.11139455782315127,24.41113713667285,75523.08928571455,-11346.638222638838
A,210.78571428571422,0,12,0,0.0,0.5555555555555558,0.0,-11346.638222638838
B,210.78571428571422,0,12,-2,0.0,0.0,-16897.988095238095,-28244.626317876933
C,210.78571428571422,0,12,-4,0.0,0.0,-50693.96428571428,-78938.59060359122
D,210.78571428571422,6,7,3,2.0867346938775273,8.6331632653061,-25346.98214285714,-104285.57274644836
E,210.78571428571422,6,7,2,2.0867346938775273,66.31195114409398,-8448.994047619048,-112734.56679406742
F,210.78571428571422,1,10,0,0.0,15.458333333333336,-8448.994047619048,-121183.56084168647
G,210.78571428571422,1,10,0,0.0,7.333333333333337,-8448.994047619048,-129632.55488930552
H,210.78571428571422,4,12,2,0.8115079365079271,21.492063492063473,8448.994047619048,-121183.56084168647
I,210.78571428571422,4,12,2,0.8115079365079271,26.387896825396822,25346.98214285714,-95836.57869882933
J,210.78571428571422,8,30,5,0.8115079365079271,25.222645073180775,67591.95238095238,-28244.626317876944
A,210.82142857142853,0,12,0,0.0,0.5555555555555558,0.0,-28244.626317876944
B,210.82142857142853,0,12,-2,0.0,0.0,-14847.852040816351,-43092.4783586933
C,210.82142857142853,0,12,-3,0.0,0.0,-37119.63010204088,-80212.10846073418
D,210.82142857142853,6,7,3,0.015306122448988293,8.648469387755089,-14847.852040816351,-95059.96050155052
E,210.82142857142853,6,7,3,0.015306122448988293,66.32725726654297,7423.926020408176,-87636.03448114234
F,210.82142857142853,1,10,0,0.0,15.458333333333336,7423.926020408176,-80212.10846073416
G,210.82142857142853,1,10,0,0.0,7.333333333333337,7423.926020408176,-72788.18244032598
H,210.82142857142853,4,12,2,0.005952380952384335,21.498015873015856,22271.778061224526,-50516.404379101456
I,210.82142857142853,4,12,2,0.005952380952384335,26.393849206349206,37119.63010204088,-13396.774277060576
J,210.82142857142853,8,30,4,0.004761904761907468,25.22740697794268,66815.33418367358,53418.559906613
A,211.37499999999986,0,12,0,0.0,0.5555555555555558,0.0,53418.559906613
B,211.37499999999986,0,12,-2,0.0,0.0,-14871.74107142858,38546.81883518442
C,211.37499999999986,0,12,-3,0.0,0.0,-37179.35267857145,1367.4661566129726
